kategori,gender,usia,plan,premi
konv_inap,PRIA,12,Diamond,37796200
konv_inap,PRIA,12,Ruby,25545900
konv_inap,PRIA,12,Emerald,14123000
konv_inap,PRIA,12,Topaz,10085600
konv_inap,PRIA,12,Topaz ID,7953100
konv_inap,PRIA,12,Jade,7758900
konv_inap,PRIA,12,Jade ID,6158500
konv_inap,PRIA,12,Sapphire,4779400
konv_inap,PRIA,12,Diamond Smart,22677700
konv_inap,PRIA,12,Ruby Smart,15327500
konv_inap,PRIA,12,Emerald Smart,8473800
konv_inap,PRIA,12,Topaz Smart,6051400
konv_inap,PRIA,12,Topaz ID Smart,5169500
konv_inap,PRIA,12,Jade Smart,4655300
konv_inap,PRIA,12,Jade ID Smart,4003000
konv_inap,PRIA,13,Diamond,37803500
konv_inap,PRIA,13,Ruby,25551800
konv_inap,PRIA,13,Emerald,14127000
konv_inap,PRIA,13,Topaz,10088600
konv_inap,PRIA,13,Topaz ID,7954100
konv_inap,PRIA,13,Jade,7760800
konv_inap,PRIA,13,Jade ID,6184100
konv_inap,PRIA,13,Sapphire,4780600
konv_inap,PRIA,13,Diamond Smart,22682100
konv_inap,PRIA,13,Ruby Smart,15331100
konv_inap,PRIA,13,Emerald Smart,8476200
konv_inap,PRIA,13,Topaz Smart,6053200
konv_inap,PRIA,13,Topaz ID Smart,5170200
konv_inap,PRIA,13,Jade Smart,4656500
konv_inap,PRIA,13,Jade ID Smart,4019700
konv_inap,PRIA,14,Diamond,37810800
konv_inap,PRIA,14,Ruby,25557600
konv_inap,PRIA,14,Emerald,14130900
konv_inap,PRIA,14,Topaz,10091500
konv_inap,PRIA,14,Topaz ID,7958200
konv_inap,PRIA,14,Jade,7762700
konv_inap,PRIA,14,Jade ID,6212000
konv_inap,PRIA,14,Sapphire,4781700
konv_inap,PRIA,14,Diamond Smart,22686500
konv_inap,PRIA,14,Ruby Smart,15334600
konv_inap,PRIA,14,Emerald Smart,8478500
konv_inap,PRIA,14,Topaz Smart,6054900
konv_inap,PRIA,14,Topaz ID Smart,5172800
konv_inap,PRIA,14,Jade Smart,4657600
konv_inap,PRIA,14,Jade ID Smart,4037800
konv_inap,PRIA,15,Diamond,37837500
konv_inap,PRIA,15,Ruby,25575300
konv_inap,PRIA,15,Emerald,14144100
konv_inap,PRIA,15,Topaz,10098300
konv_inap,PRIA,15,Topaz ID,7966200
konv_inap,PRIA,15,Jade,7768000
konv_inap,PRIA,15,Jade ID,6241500
konv_inap,PRIA,15,Sapphire,4785000
konv_inap,PRIA,15,Diamond Smart,22702500
konv_inap,PRIA,15,Ruby Smart,15345200
konv_inap,PRIA,15,Emerald Smart,8486500
konv_inap,PRIA,15,Topaz Smart,6059000
konv_inap,PRIA,15,Topaz ID Smart,5178000
konv_inap,PRIA,15,Jade Smart,4660800
konv_inap,PRIA,15,Jade ID Smart,4057000
konv_inap,PRIA,16,Diamond,38112800
konv_inap,PRIA,16,Ruby,25598200
konv_inap,PRIA,16,Emerald,14148000
konv_inap,PRIA,16,Topaz,10105300
konv_inap,PRIA,16,Topaz ID,8313500
konv_inap,PRIA,16,Jade,8135600
konv_inap,PRIA,16,Jade ID,6437100
konv_inap,PRIA,16,Sapphire,4788400
konv_inap,PRIA,16,Diamond Smart,22867700
konv_inap,PRIA,16,Ruby Smart,15358900
konv_inap,PRIA,16,Emerald Smart,8488800
konv_inap,PRIA,16,Topaz Smart,6063200
konv_inap,PRIA,16,Topaz ID Smart,5403800
konv_inap,PRIA,16,Jade Smart,4881400
konv_inap,PRIA,16,Jade ID Smart,4184100
konv_inap,PRIA,17,Diamond,38388100
konv_inap,PRIA,17,Ruby,25686800
konv_inap,PRIA,17,Emerald,14160500
konv_inap,PRIA,17,Topaz,10113300
konv_inap,PRIA,17,Topaz ID,8328000
konv_inap,PRIA,17,Jade,8149800
konv_inap,PRIA,17,Jade ID,6442000
konv_inap,PRIA,17,Sapphire,4792000
konv_inap,PRIA,17,Diamond Smart,23032900
konv_inap,PRIA,17,Ruby Smart,15412100
konv_inap,PRIA,17,Emerald Smart,8496300
konv_inap,PRIA,17,Topaz Smart,6068000
konv_inap,PRIA,17,Topaz ID Smart,5413200
konv_inap,PRIA,17,Jade Smart,4889900
konv_inap,PRIA,17,Jade ID Smart,4187300
konv_inap,PRIA,18,Diamond,38663300
konv_inap,PRIA,18,Ruby,25701200
konv_inap,PRIA,18,Emerald,14173600
konv_inap,PRIA,18,Topaz,10127700
konv_inap,PRIA,18,Topaz ID,8340100
konv_inap,PRIA,18,Jade,8161600
konv_inap,PRIA,18,Jade ID,6445000
konv_inap,PRIA,18,Sapphire,4799000
konv_inap,PRIA,18,Diamond Smart,23198000
konv_inap,PRIA,18,Ruby Smart,15420700
konv_inap,PRIA,18,Emerald Smart,8504200
konv_inap,PRIA,18,Topaz Smart,6076600
konv_inap,PRIA,18,Topaz ID Smart,5421100
konv_inap,PRIA,18,Jade Smart,4897000
konv_inap,PRIA,18,Jade ID Smart,4189300
konv_inap,PRIA,19,Diamond,38938600
konv_inap,PRIA,19,Ruby,26509600
konv_inap,PRIA,19,Emerald,14381100
konv_inap,PRIA,19,Topaz,10150600
konv_inap,PRIA,19,Topaz ID,8412000
konv_inap,PRIA,19,Jade,8231900
konv_inap,PRIA,19,Jade ID,6566700
konv_inap,PRIA,19,Sapphire,4804400
konv_inap,PRIA,19,Diamond Smart,23363200
konv_inap,PRIA,19,Ruby Smart,15905800
konv_inap,PRIA,19,Emerald Smart,8628700
konv_inap,PRIA,19,Topaz Smart,6090400
konv_inap,PRIA,19,Topaz ID Smart,5467800
konv_inap,PRIA,19,Jade Smart,4939100
konv_inap,PRIA,19,Jade ID Smart,4268400
konv_inap,PRIA,20,Diamond,39213900
konv_inap,PRIA,20,Ruby,26546500
konv_inap,PRIA,20,Emerald,15034800
konv_inap,PRIA,20,Topaz,10187400
konv_inap,PRIA,20,Topaz ID,8454400
konv_inap,PRIA,20,Jade,8273400
konv_inap,PRIA,20,Jade ID,6616300
konv_inap,PRIA,20,Sapphire,4813500
konv_inap,PRIA,20,Diamond Smart,23528300
konv_inap,PRIA,20,Ruby Smart,15927900
konv_inap,PRIA,20,Emerald Smart,9020900
konv_inap,PRIA,20,Topaz Smart,6112400
konv_inap,PRIA,20,Topaz ID Smart,5495400
konv_inap,PRIA,20,Jade Smart,4964000
konv_inap,PRIA,20,Jade ID Smart,4300600
konv_inap,PRIA,21,Diamond,39489100
konv_inap,PRIA,21,Ruby,28616300
konv_inap,PRIA,21,Emerald,15688500
konv_inap,PRIA,21,Topaz,11409300
konv_inap,PRIA,21,Topaz ID,9376200
konv_inap,PRIA,21,Jade,9175500
konv_inap,PRIA,21,Jade ID,7403600
konv_inap,PRIA,21,Sapphire,5504600
konv_inap,PRIA,21,Diamond Smart,23693500
konv_inap,PRIA,21,Ruby Smart,17169800
konv_inap,PRIA,21,Emerald Smart,9413100
konv_inap,PRIA,21,Topaz Smart,6845600
konv_inap,PRIA,21,Topaz ID Smart,6094500
konv_inap,PRIA,21,Jade Smart,5505300
konv_inap,PRIA,21,Jade ID Smart,4812300
konv_inap,PRIA,22,Diamond,39603500
konv_inap,PRIA,22,Ruby,28989600
konv_inap,PRIA,22,Emerald,15773500
konv_inap,PRIA,22,Topaz,11450900
konv_inap,PRIA,22,Topaz ID,9410100
konv_inap,PRIA,22,Jade,9208800
konv_inap,PRIA,22,Jade ID,7433600
konv_inap,PRIA,22,Sapphire,5524500
konv_inap,PRIA,22,Diamond Smart,23762100
konv_inap,PRIA,22,Ruby Smart,17393800
konv_inap,PRIA,22,Emerald Smart,9464100
konv_inap,PRIA,22,Topaz Smart,6870500
konv_inap,PRIA,22,Topaz ID Smart,6116600
konv_inap,PRIA,22,Jade Smart,5525300
konv_inap,PRIA,22,Jade ID Smart,4831800
konv_inap,PRIA,23,Diamond,40859300
konv_inap,PRIA,23,Ruby,29362900
konv_inap,PRIA,23,Emerald,16199600
konv_inap,PRIA,23,Topaz,11528000
konv_inap,PRIA,23,Topaz ID,9473500
konv_inap,PRIA,23,Jade,9270800
konv_inap,PRIA,23,Jade ID,7471600
konv_inap,PRIA,23,Sapphire,5710900
konv_inap,PRIA,23,Diamond Smart,24515600
konv_inap,PRIA,23,Ruby Smart,17617700
konv_inap,PRIA,23,Emerald Smart,9719800
konv_inap,PRIA,23,Topaz Smart,6916800
konv_inap,PRIA,23,Topaz ID Smart,6157800
konv_inap,PRIA,23,Jade Smart,5562500
konv_inap,PRIA,23,Jade ID Smart,4856500
konv_inap,PRIA,24,Diamond,41601600
konv_inap,PRIA,24,Ruby,29860500
konv_inap,PRIA,24,Emerald,16524700
konv_inap,PRIA,24,Topaz,11553400
konv_inap,PRIA,24,Topaz ID,9494500
konv_inap,PRIA,24,Jade,9291200
konv_inap,PRIA,24,Jade ID,7572000
konv_inap,PRIA,24,Sapphire,5723400
konv_inap,PRIA,24,Diamond Smart,24961000
konv_inap,PRIA,24,Ruby Smart,17916300
konv_inap,PRIA,24,Emerald Smart,9914800
konv_inap,PRIA,24,Topaz Smart,6932000
konv_inap,PRIA,24,Topaz ID Smart,6171400
konv_inap,PRIA,24,Jade Smart,5574700
konv_inap,PRIA,24,Jade ID Smart,4921800
konv_inap,PRIA,25,Diamond,42434600
konv_inap,PRIA,25,Ruby,30908300
konv_inap,PRIA,25,Emerald,16563200
konv_inap,PRIA,25,Topaz,11683300
konv_inap,PRIA,25,Topaz ID,9601300
konv_inap,PRIA,25,Jade,9395800
konv_inap,PRIA,25,Jade ID,7774500
konv_inap,PRIA,25,Sapphire,5787600
konv_inap,PRIA,25,Diamond Smart,25460800
konv_inap,PRIA,25,Ruby Smart,18545000
konv_inap,PRIA,25,Emerald Smart,9937900
konv_inap,PRIA,25,Topaz Smart,7010000
konv_inap,PRIA,25,Topaz ID Smart,6240800
konv_inap,PRIA,25,Jade Smart,5637500
konv_inap,PRIA,25,Jade ID Smart,5053400
konv_inap,PRIA,26,Diamond,42495800
konv_inap,PRIA,26,Ruby,31048800
konv_inap,PRIA,26,Emerald,17292100
konv_inap,PRIA,26,Topaz,11688200
konv_inap,PRIA,26,Topaz ID,9605200
konv_inap,PRIA,26,Jade,9399700
konv_inap,PRIA,26,Jade ID,7875800
konv_inap,PRIA,26,Sapphire,5790300
konv_inap,PRIA,26,Diamond Smart,25497500
konv_inap,PRIA,26,Ruby Smart,18629300
konv_inap,PRIA,26,Emerald Smart,10375300
konv_inap,PRIA,26,Topaz Smart,7012900
konv_inap,PRIA,26,Topaz ID Smart,6243400
konv_inap,PRIA,26,Jade Smart,5639800
konv_inap,PRIA,26,Jade ID Smart,5119300
konv_inap,PRIA,27,Diamond,42745100
konv_inap,PRIA,27,Ruby,31189300
konv_inap,PRIA,27,Emerald,17310000
konv_inap,PRIA,27,Topaz,11760400
konv_inap,PRIA,27,Topaz ID,9664600
konv_inap,PRIA,27,Jade,9457700
konv_inap,PRIA,27,Jade ID,8056600
konv_inap,PRIA,27,Sapphire,5826000
konv_inap,PRIA,27,Diamond Smart,25647100
konv_inap,PRIA,27,Ruby Smart,18713600
konv_inap,PRIA,27,Emerald Smart,10386000
konv_inap,PRIA,27,Topaz Smart,7056200
konv_inap,PRIA,27,Topaz ID Smart,6282000
konv_inap,PRIA,27,Jade Smart,5674600
konv_inap,PRIA,27,Jade ID Smart,5236800
konv_inap,PRIA,28,Diamond,42970500
konv_inap,PRIA,28,Ruby,31225000
konv_inap,PRIA,28,Emerald,17483100
konv_inap,PRIA,28,Topaz,11819700
konv_inap,PRIA,28,Topaz ID,9713300
konv_inap,PRIA,28,Jade,9505400
konv_inap,PRIA,28,Jade ID,8229400
konv_inap,PRIA,28,Sapphire,5855200
konv_inap,PRIA,28,Diamond Smart,25782300
konv_inap,PRIA,28,Ruby Smart,18735000
konv_inap,PRIA,28,Emerald Smart,10489900
konv_inap,PRIA,28,Topaz Smart,7091800
konv_inap,PRIA,28,Topaz ID Smart,6313600
konv_inap,PRIA,28,Jade Smart,5703200
konv_inap,PRIA,28,Jade ID Smart,5349100
konv_inap,PRIA,29,Diamond,43240400
konv_inap,PRIA,29,Ruby,31260800
konv_inap,PRIA,29,Emerald,17657900
konv_inap,PRIA,29,Topaz,11894000
konv_inap,PRIA,29,Topaz ID,9955500
konv_inap,PRIA,29,Jade,9565000
konv_inap,PRIA,29,Jade ID,8415700
konv_inap,PRIA,29,Sapphire,5994600
konv_inap,PRIA,29,Diamond Smart,25944200
konv_inap,PRIA,29,Ruby Smart,18756500
konv_inap,PRIA,29,Emerald Smart,10594700
konv_inap,PRIA,29,Topaz Smart,7136400
konv_inap,PRIA,29,Topaz ID Smart,6471100
konv_inap,PRIA,29,Jade Smart,5739000
konv_inap,PRIA,29,Jade ID Smart,5470200
konv_inap,PRIA,30,Diamond,43284600
konv_inap,PRIA,30,Ruby,31296600
konv_inap,PRIA,30,Emerald,17834500
konv_inap,PRIA,30,Topaz,11899100
konv_inap,PRIA,30,Topaz ID,10033000
konv_inap,PRIA,30,Jade,9569300
konv_inap,PRIA,30,Jade ID,8555000
konv_inap,PRIA,30,Sapphire,6150800
konv_inap,PRIA,30,Diamond Smart,25970800
konv_inap,PRIA,30,Ruby Smart,18778000
konv_inap,PRIA,30,Emerald Smart,10700700
konv_inap,PRIA,30,Topaz Smart,7139500
konv_inap,PRIA,30,Topaz ID Smart,6521500
konv_inap,PRIA,30,Jade Smart,5741600
konv_inap,PRIA,30,Jade ID Smart,5560800
konv_inap,PRIA,31,Diamond,43328800
konv_inap,PRIA,31,Ruby,31561300
konv_inap,PRIA,31,Emerald,18944800
konv_inap,PRIA,31,Topaz,12600100
konv_inap,PRIA,31,Topaz ID,10597600
konv_inap,PRIA,31,Jade,9608800
konv_inap,PRIA,31,Jade ID,8653500
konv_inap,PRIA,31,Sapphire,6176400
konv_inap,PRIA,31,Diamond Smart,25997300
konv_inap,PRIA,31,Ruby Smart,18936800
konv_inap,PRIA,31,Emerald Smart,11366900
konv_inap,PRIA,31,Topaz Smart,7560100
konv_inap,PRIA,31,Topaz ID Smart,6888400
konv_inap,PRIA,31,Jade Smart,5765300
konv_inap,PRIA,31,Jade ID Smart,5624800
konv_inap,PRIA,32,Diamond,44021300
konv_inap,PRIA,32,Ruby,31663500
konv_inap,PRIA,32,Emerald,19245200
konv_inap,PRIA,32,Topaz,12899200
konv_inap,PRIA,32,Topaz ID,10864300
konv_inap,PRIA,32,Jade,9758100
konv_inap,PRIA,32,Jade ID,8869400
konv_inap,PRIA,32,Sapphire,6272300
konv_inap,PRIA,32,Diamond Smart,26412800
konv_inap,PRIA,32,Ruby Smart,18998100
konv_inap,PRIA,32,Emerald Smart,11547100
konv_inap,PRIA,32,Topaz Smart,7739500
konv_inap,PRIA,32,Topaz ID Smart,7061800
konv_inap,PRIA,32,Jade Smart,5854900
konv_inap,PRIA,32,Jade ID Smart,5765100
konv_inap,PRIA,33,Diamond,44156400
konv_inap,PRIA,33,Ruby,31765800
konv_inap,PRIA,33,Emerald,19305300
konv_inap,PRIA,33,Topaz,13253200
konv_inap,PRIA,33,Topaz ID,11147500
konv_inap,PRIA,33,Jade,9788400
konv_inap,PRIA,33,Jade ID,8921900
konv_inap,PRIA,33,Sapphire,6291800
konv_inap,PRIA,33,Diamond Smart,26493800
konv_inap,PRIA,33,Ruby Smart,19059500
konv_inap,PRIA,33,Emerald Smart,11583200
konv_inap,PRIA,33,Topaz Smart,7951900
konv_inap,PRIA,33,Topaz ID Smart,7245900
konv_inap,PRIA,33,Jade Smart,5873000
konv_inap,PRIA,33,Jade ID Smart,5799200
konv_inap,PRIA,34,Diamond,44668600
konv_inap,PRIA,34,Ruby,31867900
konv_inap,PRIA,34,Emerald,19512300
konv_inap,PRIA,34,Topaz,13553900
konv_inap,PRIA,34,Topaz ID,11466000
konv_inap,PRIA,34,Jade,9889400
konv_inap,PRIA,34,Jade ID,8966800
konv_inap,PRIA,34,Sapphire,6356800
konv_inap,PRIA,34,Diamond Smart,26801200
konv_inap,PRIA,34,Ruby Smart,19120700
konv_inap,PRIA,34,Emerald Smart,11707400
konv_inap,PRIA,34,Topaz Smart,8132300
konv_inap,PRIA,34,Topaz ID Smart,7452900
konv_inap,PRIA,34,Jade Smart,5933600
konv_inap,PRIA,34,Jade ID Smart,5828400
konv_inap,PRIA,35,Diamond,44843600
konv_inap,PRIA,35,Ruby,32242000
konv_inap,PRIA,35,Emerald,19574800
konv_inap,PRIA,35,Topaz,13613900
konv_inap,PRIA,35,Topaz ID,11759100
konv_inap,PRIA,35,Jade,9921000
konv_inap,PRIA,35,Jade ID,9035800
konv_inap,PRIA,35,Sapphire,6377100
konv_inap,PRIA,35,Diamond Smart,26906200
konv_inap,PRIA,35,Ruby Smart,19345200
konv_inap,PRIA,35,Emerald Smart,11744900
konv_inap,PRIA,35,Topaz Smart,8168300
konv_inap,PRIA,35,Topaz ID Smart,7643400
konv_inap,PRIA,35,Jade Smart,5952600
konv_inap,PRIA,35,Jade ID Smart,5873300
konv_inap,PRIA,36,Diamond,45773500
konv_inap,PRIA,36,Ruby,33620000
konv_inap,PRIA,36,Emerald,19644800
konv_inap,PRIA,36,Topaz,14014000
konv_inap,PRIA,36,Topaz ID,12279900
konv_inap,PRIA,36,Jade,9955300
konv_inap,PRIA,36,Jade ID,9072000
konv_inap,PRIA,36,Sapphire,6399100
konv_inap,PRIA,36,Diamond Smart,27464100
konv_inap,PRIA,36,Ruby Smart,20172000
konv_inap,PRIA,36,Emerald Smart,11786900
konv_inap,PRIA,36,Topaz Smart,8408400
konv_inap,PRIA,36,Topaz ID Smart,7981900
konv_inap,PRIA,36,Jade Smart,5973200
konv_inap,PRIA,36,Jade ID Smart,5896800
konv_inap,PRIA,37,Diamond,46923100
konv_inap,PRIA,37,Ruby,33883800
konv_inap,PRIA,37,Emerald,19788700
konv_inap,PRIA,37,Topaz,14279300
konv_inap,PRIA,37,Topaz ID,12722300
konv_inap,PRIA,37,Jade,10027800
konv_inap,PRIA,37,Jade ID,9180000
konv_inap,PRIA,37,Sapphire,6445800
konv_inap,PRIA,37,Diamond Smart,28153900
konv_inap,PRIA,37,Ruby Smart,20330300
konv_inap,PRIA,37,Emerald Smart,11873200
konv_inap,PRIA,37,Topaz Smart,8567600
konv_inap,PRIA,37,Topaz ID Smart,8269500
konv_inap,PRIA,37,Jade Smart,6016700
konv_inap,PRIA,37,Jade ID Smart,5967000
konv_inap,PRIA,38,Diamond,49037300
konv_inap,PRIA,38,Ruby,35398200
konv_inap,PRIA,38,Emerald,20662800
konv_inap,PRIA,38,Topaz,14580200
konv_inap,PRIA,38,Topaz ID,13200100
konv_inap,PRIA,38,Jade,10190100
konv_inap,PRIA,38,Jade ID,9447600
konv_inap,PRIA,38,Sapphire,6566300
konv_inap,PRIA,38,Diamond Smart,29422400
konv_inap,PRIA,38,Ruby Smart,21238900
konv_inap,PRIA,38,Emerald Smart,12397700
konv_inap,PRIA,38,Topaz Smart,8748100
konv_inap,PRIA,38,Topaz ID Smart,8580100
konv_inap,PRIA,38,Jade Smart,6114100
konv_inap,PRIA,38,Jade ID Smart,6046500
konv_inap,PRIA,39,Diamond,50130200
konv_inap,PRIA,39,Ruby,36799600
konv_inap,PRIA,39,Emerald,21472600
